,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
52,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/36e55b66-8a6c-4f16-bd08-c4392599df0d,daily,39,2023-01-20T08:42:40.118Z,"IssueCounts(low=7, medium=22, high=54, critical=1)",True
53,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/a47f4b35-400e-42fa-9405-00250e31d001,daily,166,2023-01-20T07:48:06.800Z,"IssueCounts(low=2, medium=7, high=5, critical=0)",True
54,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/bc6d392f-2f45-4e6c-ac32-a0adc70e0e8f,daily,306,2023-01-20T07:30:24.296Z,"IssueCounts(low=0, medium=3, high=2, critical=0)",True
55,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/0167381b-403b-4b61-8fba-df34de77393f,daily,400,2023-01-20T07:14:33.866Z,"IssueCounts(low=9, medium=35, high=61, critical=2)",True
56,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/7533eb52-2821-426e-892f-84c2e4c903c4,daily,64,2023-01-20T06:57:53.418Z,"IssueCounts(low=0, medium=3, high=1, critical=0)",True
57,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/0e5c11d4-e65e-422e-a9e7-e22d6e577a9f,daily,0,2023-01-20T06:57:28.698Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
58,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/293ffcf0-99f8-4e05-805c-95eab0886e02,daily,0,2023-01-20T06:56:18.123Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
59,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/9f717553-a3c9-4f5d-a8e2-30ef9195d3a2,daily,42,2023-01-20T06:50:41.283Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
60,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/dd6c821b-72ca-463b-a00d-eb31782381ad,daily,47,2023-01-20T06:34:31.456Z,"IssueCounts(low=4, medium=14, high=49, critical=1)",True
61,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/ef5c7fd9-3c27-4513-ace2-00a417b108c9,daily,490,2023-01-20T06:00:42.747Z,"IssueCounts(low=11, medium=42, high=63, critical=2)",True
62,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-axios-with-e2ee,https://app.snyk.io/org/bedrock-1rn/project/fe4acb13-ffc3-4b43-a42e-f43f8a6d3d74,daily,22,2023-01-20T05:52:44.854Z,"IssueCounts(low=1, medium=7, high=2, critical=0)",True
63,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-kafka-proxy-v3,https://app.snyk.io/org/bedrock-1rn/project/0b7cf235-62ab-4103-aae4-3e477f5674ad,daily,127,2023-01-20T05:48:24.694Z,"IssueCounts(low=3, medium=11, high=4, critical=0)",True
64,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/efbf966a-2829-49bc-90e8-bd1cdc337ee9,daily,0,2023-01-20T05:26:35.245Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
65,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/71b11a3d-0583-4118-a52c-69ad5c3115c5,daily,0,2023-01-20T05:00:35.495Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
66,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/f4d49fa0-63f0-43b3-a4e6-ec85df4a2ba6,daily,0,2023-01-20T05:00:18.670Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
67,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/18bf94ef-8a66-45fe-a284-5f0a2a8f241a,daily,57,2023-01-20T04:58:06.526Z,"IssueCounts(low=0, medium=3, high=1, critical=0)",True
68,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/c75ab48f-8828-43fc-b40e-5820c05f6ffa,daily,0,2023-01-20T03:58:33.034Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
69,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-event-backbone,https://app.snyk.io/org/bedrock-1rn/project/47f62e71-95cc-467d-ab42-f7457c0845ea,daily,0,2023-01-20T03:56:20.082Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
70,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/58f95df2-80af-447b-bef2-01539d99bddb,daily,28,2023-01-20T03:46:23.016Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
71,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-wb-navigator,https://app.snyk.io/org/bedrock-1rn/project/1d133a68-466a-4a03-9b4f-fc1b4b1c9a41,daily,166,2023-01-20T03:38:07.260Z,"IssueCounts(low=2, medium=7, high=5, critical=0)",True
